region,departement,arrondissement,commune,coordination,langue,X,Y,latitude,longitude
Thies,Thies,Thies,Thies,Dakar,Wolof,292242,1636408.1,15.283809,-16.983574
Dakar,Dakar,Dakar,Dakar,Dakar,Wolof,236286,1630724,14.902908,-17.346577
Dakar,Dakar,Dakar,Dakar,Dakar,Wolof,236286,1630724,14.902908,-17.346577
Dakar,Rufique,Rufique,Dakar,Dakar,Wolof,255394,1628176.3,14.748619,-17.267496
Dakar,Guediawaye,Guediawaye,Guediawaye,Dakar,Wolof,242846,1634206,14.850652,-17.383730
Dakar,Guediawaye,Guediawaye,Guediawaye,Dakar,Wolof,242846,1634206,14.850652,-17.383730
Saint-Louis,Saint-Louis,RAO,GANDON,Fouta,Wolof,336812,1748122,16.204383,-16.452309
Matam,Matam ,Ogo ,Nabadji -Civol ,Fouta,Wolof,669794,1735282,15.794442,-13.326845
Matam,Matam ,Ogo ,Nabadji -Civol ,Fouta,Wolof,674430,1734893,15.794442,-13.326845
Matam,Matam ,Agnam civol,Dabiya Odedji ,Fouta,Wolof,643513,1744427,15.915465,-13.515828
Matam,Matam ,Ogo ,Bokidiawe ,Fouta,Wolof,659876,1749698,15.794442,-13.326845
Saint-Louis,Podor ,Sadel,Mbolo Birame ,Fouta,Wolof,603950,1763190,16.426892,-13.423812
Saint-Louis,Podor ,Sadel,Mbolo Birame ,Fouta,Wolof,615237,1775451,17.422994,-13.778057
Saint-Louis,Podor ,Sadel,Mbolo Birame ,Fouta,Wolof,616294,1767148,17.422994,-13.778057
Saint-Louis,Podor ,Thile Boubacar,Ndiayene Pendaw,Fouta,Wolof,510129,1825575,16.518165,-15.092018
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,541004,1833802,16.519874,-14.715618
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,639393,1780833,16.519874,-14.715618
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,547185,1826132.7,16.519874,-14.715618
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,552602,1826132.7,16.519874,-14.715618
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,549972,1825370,16.519874,-14.715618
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,552602,1823707,16.519874,-14.715618
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,545946,1829032,16.519874,-14.715618
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,547185,1826132.7,16.519874,-14.715618
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,531061.8,1826132.7,16.519874,-14.715618
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,547185,1833089,16.519874,-14.715618
Saint-Louis,Podor ,Thile Boubacar,Ndiayene Pendaw,Fouta,Pulaar,508301,1824669,16.500883,-15.046645
